ticker,company,industry,sub_industry,cik
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,1324404
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,316709
CHTR,Charter Communications,Communication Services,Cable & Satellite,1091667
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,93410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,1058090
CB,Chubb Limited,Financials,Property & Casualty Insurance,896159
CHD,Church & Dwight,Consumer Staples,Household Products,313927
CI,CIGNA Corp.,Health Care,Managed Health Care,1739940
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,20286
CTAS,Cintas Corporation,Industrials,Diversified Support Services,723254
CSCO,Cisco Systems,Information Technology,Communications Equipment,858877
C,Citigroup Inc.,Financials,Diversified Banks,831001
CFG,Citizens Financial Group,Financials,Regional Banks,759944
CTXS,Citrix Systems,Information Technology,Application Software,877890
CLX,The Clorox Company,Consumer Staples,Household Products,21076
CME,CME Group Inc.,Financials,Financial Exchanges & Data,1156375
CMS,CMS Energy,Utilities,Multi-Utilities,811156
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,21344
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,1058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,21665
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,1166691
CMA,Comerica Inc.,Financials,Diversified Banks,28412
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,23217
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1163165
ED,Consolidated Edison,Utilities,Electric Utilities,1047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,16918
COO,The Cooper Companies,Health Care,Health Care Supplies,711404
CPRT,Copart Inc,Industrials,Diversified Support Services,900075
GLW,Corning Inc.,Information Technology,Electronic Components,24741
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,1755672
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,909832
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,1051470
CSX,CSX Corp.,Industrials,Railroads,277948
CMI,Cummins Inc.,Industrials,Industrial Machinery,26172
CVS,CVS Health,Health Care,Health Care Services,64803
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,882184
DHR,Danaher Corp.,Health Care,Health Care Equipment,313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,940944
DVA,DaVita Inc.,Health Care,Health Care Facilities,927066
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,315189
DAL,Delta Air Lines Inc.,Industrials,Airlines,27904
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,818479
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,1090012
DXCM,DexCom,Health Care,Health Care Equipment,1093557
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,1539838
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,1297996
DFS,Discover Financial Services,Financials,Consumer Finance,1393612
DISCA,"Discovery, Inc. (Series A)",Communication Services,Broadcasting,1437107
DISCK,"Discovery, Inc. (Series C)",Communication Services,Broadcasting,1437107
DISH,Dish Network,Communication Services,Cable & Satellite,1001082
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,29534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,935703
D,Dominion Energy,Utilities,Electric Utilities,715957
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,1286681
DOV,Dover Corporation,Industrials,Industrial Machinery,29905
DOW,Dow Inc.,Materials,Commodity Chemicals,1751788
DTE,DTE Energy Co.,Utilities,Multi-Utilities,936340
DUK,Duke Energy,Utilities,Electric Utilities,1326160
DRE,Duke Realty Corp,Real Estate,Industrial REITs,783280
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,1666700
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,1688568
EMN,Eastman Chemical,Materials,Diversified Chemicals,915389
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1551182
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,1065088
ECL,Ecolab Inc.,Materials,Specialty Chemicals,31462
EIX,Edison Int'l,Utilities,Electric Utilities,827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment,1099800
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,712515
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,32604
ENPH,Enphase Energy,Information Technology,Semiconductor Equipment,1463101
ETR,Entergy Corp.,Utilities,Electric Utilities,65984
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,821189
EFX,Equifax Inc.,Industrials,Research & Consulting Services,33185
EQIX,Equinix,Real Estate,Specialized REITs,1101239
EQR,Equity Residential,Real Estate,Residential REITs,906107
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,920522
EL,Estée Lauder Companies,Consumer Staples,Personal Products,1001250
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,1370637
EVRG,Evergy,Utilities,Electric Utilities,1711269
ES,Eversource Energy,Utilities,Multi-Utilities,72741
RE,Everest Re Group Ltd.,Financials,Reinsurance,1095073
EXC,Exelon Corp.,Utilities,Multi-Utilities,1109357
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,1324424
EXPD,Expeditors,Industrials,Air Freight & Logistics,746515
EXR,Extra Space Storage,Real Estate,Specialized REITs,1289490
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,34088
FFIV,F5 Networks,Information Technology,Communications Equipment,1048695
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,1326801
FAST,Fastenal Co,Industrials,Building Products,815556
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,34903
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,1048911
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,1136893
